Date,EW_Nifty (buy-hold),S1 (R<0),S1_inv (R>0),S2a (R<0 & PS<0),S2b (R<0 & PS<-0.001),S3 (R<0 & E<=L<=F),S4a (S1 + cross-up 50),S4b (S4a + P<0)
2022-05-27,226289.7541633561,126191.35246842989,149658.12276264295,152739.89267066185,79335.07196225743,81733.07277725113,42128.81441681322,41404.2555691617
2022-05-30,231679.9871030187,128286.51563439789,152525.69141463673,155683.63284666574,81359.94250449701,83416.8358325474,42002.42797356278,41280.04280245422
2022-05-31,232284.31516361728,128277.72600359432,153875.4760567241,155884.74052258732,81366.29375493397,83554.7920867292,41715.45492699884,40998.00530565127
2022-06-01,230285.4199065542,127211.91154969238,153021.86116856683,154535.90374197156,80564.83269838983,82701.15146788671,41715.45492699884,40998.00530565127
2022-06-02,232472.00962903682,127796.21174841608,153616.94398809463,155289.58030336356,81161.29227614458,83289.54792640575,41590.30856221785,40875.01128973431
2022-06-03,230812.18778442184,126379.61505074242,152479.91920862967,153626.94326994426,80155.35097329605,82274.3629438633,40809.25283008478,40107.38866387447
2022-06-06,231389.6160097197,126081.57733080183,152636.49177816455,153281.04465010695,79791.81724972691,81938.00461236436,40362.726561666386,39668.54204566627
2022-06-07,229499.58782981784,124739.61710946895,152026.33308656627,151691.43553115873,78635.89658475138,80695.82529433686,39623.060224207635,38941.59697265643
2022-06-08,228301.70505721186,125013.12577760061,151111.69548424418,152012.29812843492,78916.99281144433,80969.27865823297,39504.191043535015,38824.77218173846
2022-06-09,230120.2564461374,125444.56094099126,152325.37422706044,152211.20215416956,78906.36059688257,80958.36983085822,40427.505048160725,39732.206429469195
2022-06-10,228118.44157655217,124231.0865248545,151559.59895681843,150610.523041302,78046.89805019562,80076.55642210708,39510.37784221116,38830.85257581286
2022-06-13,220573.50125415102,120714.3397775022,148075.84262714995,146152.67084365882,75585.78792899895,77534.13692528309,39510.37784221116,38830.85257581286
2022-06-14,223087.98278072555,120573.65145489978,148077.63959344843,146035.99080580435,75557.27734722785,77504.14083081092,39510.37784221116,38830.85257581286
2022-06-15,223148.44692113192,120922.36109365293,147944.67629133127,146461.10755449653,75835.64579741629,77789.75992245533,39510.37784221116,38830.85257581286
2022-06-16,216854.7570383239,117847.78759416874,144523.6443979124,142446.13321972315,73846.89435470612,75749.76310041164,39510.37784221116,38830.85257581286
2022-06-17,215380.843412269,116587.82952738288,142943.71335156332,141030.0076923029,73258.59927355484,75116.63074100985,39510.37784221116,38830.85257581286
2022-06-20,215529.5581725847,116587.96521158122,142801.73749095848,141030.05791254167,73420.16293575717,75271.76428301819,39391.84670868453,38714.36001808542
2022-06-21,220680.66706314683,119124.7794314221,145402.79952412323,144090.5205992789,75099.9394347935,77019.64064179202,39119.07473093063,38446.27935084213
2022-06-22,216118.2238494704,117028.1808648181,143327.02624234976,141393.16169053514,73692.11176249766,75561.36508947851,38929.76548484275,38260.22596872987
2022-06-23,218643.78743968342,118402.29794619638,145572.5626622471,142835.4200388667,74477.86515876012,76339.86396084473,38929.76548484275,38260.22596872987
2022-06-24,221372.5479136022,119294.27791854093,147831.68985034275,143954.22306451993,74990.35186936393,76890.60216083788,38812.97618838822,38145.445290823685
2022-06-27,223291.84197671115,120690.09365477994,148759.878666145,145638.30791097987,76058.17254015648,77859.7707644977,38756.90993666944,38090.343303096175
2022-06-28,224249.10957901386,120928.28851346512,149863.43736922555,145925.74074437286,76008.6652203925,77808.83250186717,38620.46864937518,37956.24862211549
2022-06-29,223730.24022588725,120374.42499553434,149316.8073681675,145232.7599331834,75314.951549851,77292.53430136794,38504.60724342705,37842.37987624914
2022-06-30,222058.70021386346,119500.87017825176,149162.62992521384,144273.50273200733,74773.32923238423,76783.1774407767,38229.20414394709,37571.71333902856
2022-07-01,224138.75243085323,120454.45540603463,149306.55940317485,145424.9375674304,75817.02837388935,77801.28679148345,38114.516531515255,37458.998199011476
2022-07-04,225842.04313656886,120801.88313535968,150757.53417118575,145791.43691614413,75917.71362528314,78072.73256791382,37599.83384522749,36953.16736149385
2022-07-05,225455.49448536083,120738.04227656682,150533.4701366045,145729.43022743604,75802.53434458295,77954.15816353857,37575.28927054122,36929.044920423185
2022-07-06,228790.8216805766,122361.25638503922,152600.6342627154,147569.57288726277,76594.3068982309,78768.40606361144,37462.5634027296,36818.25778566192
2022-07-07,230455.9738412834,124091.95800764352,153326.25849694922,149743.52884787618,78542.46806932751,80771.86501776443,37404.087642491264,36760.78772971506
2022-07-08,231879.1276337642,124606.44273783072,153966.6529597818,150147.47914127863,78203.57034019732,80456.64574146409,37458.16343177328,36813.93348827796
2022-07-11,233776.616225069,124408.77137537759,155392.3155331667,149881.1952964703,77593.41429925179,79993.50546890715,37939.30275066212,37286.797859122795
2022-07-12,231867.53573120912,123104.73691743752,154089.96301462204,148284.07373201102,76615.90816791919,78985.85550762505,37323.814261582556,36681.89494280533
2022-07-13,231630.42910266962,122973.43610738606,154476.874997128,147991.8031240866,76174.91648806735,78637.97620927036,37323.814261582556,36681.89494280533
2022-07-14,232050.30582432557,122606.8413283797,154969.37434672395,147478.9016850451,75895.92518904018,78349.86957609988,37211.842818797806,36571.849257976915
2022-07-15,233933.23181183691,123150.99406256781,156757.6327083749,147907.87182983677,75717.46242475961,78165.63656770057,37358.17928136517,36715.668930547814
2022-07-18,236930.64473217737,125810.21933530038,157439.96184428097,151438.39397133735,77779.42555354179,80294.2691897717,36735.641263734906,36103.83772807286
2022-07-19,238088.8845968188,126377.69436388445,157635.58226158604,152313.07881112845,77827.66444936839,80344.0677947286,36830.42001604728,36196.98641354124
2022-07-20,239702.28559281793,127606.89228161758,158251.10699184582,153885.2432005125,79786.4220416832,82366.15793329058,36709.2217813677,36077.872625207296
2022-07-21,242413.63467801863,129151.08777813929,159371.59307606623,155954.62173245862,80199.52885406758,82792.62173604633,36742.27200978433,36110.35443422386
2022-07-22,243209.69359211504,129705.09815521797,160212.0369823232,156588.38586020947,79817.26209789191,82397.9951416195,36658.54034331851,36028.06283960925
2022-07-25,243771.48215156907,129640.56250358582,158999.56276866107,156581.03471994956,79806.10373201396,82386.47599208675,36658.54034331851,36028.06283960925
2022-07-26,242598.3488674341,128964.02139880287,157321.49897003637,155731.75727286804,78253.50797121298,80783.68012321222,36658.54034331851,36028.06283960925
2022-07-27,244286.87421458637,130480.77948379004,158397.6797112452,157382.1401582343,79005.64300345133,81560.13395166112,36658.54034331851,36028.06283960925
2022-07-28,248024.92356180932,133262.34320728926,159483.62904699452,161080.629144742,80537.64479726106,83141.6699884205,36548.56472228856,35919.97865109042
2022-07-29,251137.93053763325,135727.43534010035,160775.53574023006,164117.28878558063,81958.3189458509,84608.27882110336,36948.09922796079,36312.6417015595
2022-08-01,255160.52783043683,137158.2950929082,162582.11729257353,165849.81650366719,84058.7745665683,86776.64851309799,36987.54051814382,36351.40465469079
2022-08-02,256245.88272993863,137341.14587585843,163153.94917237197,166160.14072064287,82887.9730173553,85567.9914152695,36420.19650272387,35793.81819195124
2022-08-03,257162.4355432466,137432.54584548093,162999.1128794811,166263.78692034568,82403.10269433643,85067.4437709338,36420.19650272387,35793.81819195124
2022-08-04,257911.53051195358,137854.8559108777,162581.74652030808,166571.28694585725,82333.84149255324,84995.94314540451,36420.19650272387,35793.81819195124
2022-08-05,257385.19615434777,138138.39262854954,162004.3299653656,167108.70955588217,83003.40737017507,85687.15810920036,36420.19650272387,35793.81819195124
2022-08-08,260438.2191088428,138480.99382102187,163238.3701607894,167388.846079485,82618.58718536545,85289.89552608329,36420.19650272387,35793.81819195124
2022-08-10,261333.22541880026,138673.24673006343,163575.80450183473,167788.84028828528,83007.60555771126,85691.49203681349,36420.19650272387,35793.81819195124
2022-08-11,262384.7532642147,139240.47777752383,163998.19005914422,168475.95420565185,82745.4272013162,85420.8366626667,36420.19650272387,35793.81819195124
2022-08-12,263497.2415148038,139996.8927228815,164249.9652920379,169850.22476946076,84744.06923466962,87484.10082665311,36310.9359132157,35686.43673737539
2022-08-16,267804.5691238589,140675.1042121887,166400.72750593364,171191.86432367086,84744.06923466962,87484.10082665311,37154.04635249093,36515.04681302111
2022-08-17,270652.6397910585,142355.60487152965,167396.70209631993,173955.9951479946,84744.06923466962,87484.10082665311,37154.04635249093,36515.04681302111
2022-08-18,273922.1388550892,141878.83020718108,167966.09344987362,173154.38997614136,84744.06923466962,87484.10082665311,37154.04635249093,36515.04681302111
2022-08-19,270867.28754558077,140460.4875661585,165853.2924080607,171502.7373626133,84744.06923466962,87484.10082665311,37154.04635249093,36515.04681302111
2022-08-22,265333.3835503523,138063.03931175763,162999.73352267672,167787.73319357628,84489.8370269656,87221.64852417316,37154.04635249093,36515.04681302111
2022-08-23,266510.4320700351,138219.98579084824,164820.1655590807,167269.99296514978,83561.70309775964,86263.50522309513,37154.04635249093,36515.04681302111
2022-08-24,269275.3469328903,138240.5160368031,165396.37448375163,167195.84498955868,83359.40048110735,86054.6615521157,37042.58421343345,36405.501672582046
2022-08-25,266900.0474401987,137825.6113647886,164634.2459585532,166833.38818780438,82620.54568183584,85206.4537228902,36722.32952593871,36090.754934231816
2022-08-26,269855.7246290374,138415.27073010302,165664.33805761184,167256.28524850152,82844.68210364101,85427.45762403187,36722.32952593871,36090.754934231816
2022-08-29,267664.169959717,134951.0512842663,164567.69703750196,162578.09134232183,80279.95762640864,82598.59608501536,36722.32952593871,36090.754934231816
2022-08-30,273575.415687506,138136.4501603066,168284.12835785735,166687.17526554698,82373.65572650963,84674.43673041518,36612.16253736089,35982.48266942912
2022-09-01,273077.99075154355,135629.2353346183,167557.68992270392,163491.35264361472,81107.63877330051,83290.40129983379,35712.66324033956,35098.453548417616
2022-09-02,275408.3780866621,134402.8834936999,167439.90409323454,162598.57138886442,80867.94939697579,82847.44895595426,35712.66324033956,35098.453548417616
2022-09-05,276194.1753627273,135647.35281011107,168171.69133877967,163284.8275903741,81083.52206669752,83218.73792804709,35712.66324033956,35098.453548417616
2022-09-06,278248.8527403592,135559.38542027643,168466.24926770583,162787.12344068135,80889.22256087954,82994.59404004639,35712.66324033956,35098.453548417616
2022-09-07,279577.1660356253,135861.77779266724,168754.87722593217,163190.7034755501,80993.56143080449,83117.47530763297,35605.52525061854,34993.158187772366
2022-09-08,280738.2205007757,137039.71918917354,169875.19629581444,164050.37872668484,81379.22959551642,83668.54321062483,36119.13473785938,35497.934283820745
2022-09-09,280557.2646411307,139228.459147083,169492.20941650606,166835.9521666594,82368.20224486617,84887.55610129706,36010.7773336458,35391.440480969286
2022-09-12,282286.90652144654,140657.43115516525,170346.67408573907,168072.7445793295,82923.01994001925,85642.69082717747,35927.81484652466,35309.90483685095
2022-09-13,286339.6473868278,140562.00215793363,172019.2175257573,167921.9840119532,82674.2508801992,85385.76275469594,35855.92752502503,35239.25388042704
2022-09-14,285926.42763847037,137101.70608497498,172328.40037199363,164429.70655818598,79556.38645835129,82124.3918581715,35855.92752502503,35239.25388042704
2022-09-15,288500.3716456076,135200.55503101012,171577.29859244308,162630.95887037792,78874.36422369395,80994.70630916102,35855.92752502503,35239.25388042704
2022-09-16,283387.6048742902,131069.39232638438,168527.2734072462,158010.37584772156,76931.81610660354,78690.59696929085,35855.92752502503,35239.25388042704
2022-09-19,286102.5830586487,131478.76328101594,169290.44585141234,158504.3728502441,76990.68583463672,78936.6128507081,35855.92752502503,35239.25388042704
2022-09-20,290416.6059760069,132883.51093134313,171872.05440060236,160197.8680016491,77825.22746568597,79701.2075533588,35748.35974244995,35133.536118785756
2022-09-21,284807.34145902836,131574.62442836817,170521.29519350646,158619.93838673166,76738.2072956756,78955.92822430661,35023.51901858604,34421.16167879154
2022-09-22,286450.80094705935,130616.50447326913,170415.4762018346,157464.87578324578,76241.61485566592,78380.32857671852,35023.51901858604,34421.16167879154
2022-09-23,281675.03909146733,129866.30432970688,167170.71506695688,156560.47114544766,75771.85078236758,77930.14815460029,35023.51901858604,34421.16167879154
2022-09-26,276137.4537117355,129559.68685818398,163469.77509825866,156190.8281033143,75589.00706132068,77746.15319835291,35023.51901858604,34421.16167879154
2022-09-27,275446.3848788308,130373.25244975722,163306.56747000883,157171.6230291563,76311.97821092793,78234.35748977418,35023.51901858604,34421.16167879154
2022-09-28,274397.65902503964,130261.1467894541,162319.3562649132,157168.6604016496,76202.99147574446,78232.88280080043,35023.51901858604,34421.16167879154
2022-09-29,272409.0450226086,129937.84032341628,162425.91393092944,156696.471842907,76396.88846685737,78048.06118898181,35023.51901858604,34421.16167879154
2022-09-30,274563.60397648223,130778.57868830998,164586.97536493515,157710.8321774162,76670.33862115654,78365.71160104661,34918.448461530286,34317.898193755165
2022-10-03,265212.6836659103,130868.51419822247,161952.57544783162,157819.289403221,76573.92572531059,78431.99213589716,34630.20670116766,34034.61380332152
