Date,S1,S1_inverted,S3,EW_Nifty
2018-05-17,100000.0,100000.0,100000.0,101858.19132736769
2018-05-18,100000.0,100000.0,100000.0,101117.49019818418
2018-05-21,100000.0,100000.0,100000.0,100129.99925963084
2018-05-22,100000.0,100000.0,100000.0,100786.53771208224
2018-05-23,100000.0,100000.0,100000.0,99921.09456223542
2018-05-24,100000.0,100000.0,100000.0,100626.95327762788
2018-05-25,100000.0,100000.0,100000.0,101854.06845961005
2018-05-28,100000.0,100000.0,100000.0,102470.63386485243
2018-05-29,100000.0,100000.0,100000.0,102074.75950737417
2018-05-30,100000.0,100000.0,100000.0,102020.73198814789
2018-05-31,100000.0,100000.0,100000.0,102660.45917593376
2018-06-01,100000.0,100000.0,100000.0,102045.19775516729
2018-06-04,100000.0,100000.0,100000.0,101281.04103913264
2018-06-05,100000.0,100000.0,100000.0,100751.49511816577
2018-06-06,100000.0,100000.0,100000.0,101960.07440920528
2018-06-07,100000.0,100000.0,100000.0,102889.22151053237
2018-06-08,100000.0,100000.0,100000.0,103062.49195318033
2018-06-11,100000.0,100000.0,100000.0,103514.7243968838
2018-06-12,100000.0,100000.0,100000.0,103973.9245570972
2018-06-13,100000.0,100000.0,100000.0,104299.34153045222
2018-06-14,100000.0,100000.0,100000.0,103974.76596833
2018-06-15,100000.0,100000.0,100000.0,103979.9318594086
2018-06-18,100000.0,100000.0,100000.0,103757.64654046729
2018-06-19,100000.0,100000.0,100000.0,102793.04085332161
2018-06-20,100000.0,100000.0,100000.0,103114.60469406552
2018-06-21,100000.0,100000.0,100000.0,102451.87739978336
2018-06-22,100000.0,100000.0,100000.0,103217.4759973899
2018-06-25,100000.0,100000.0,100000.0,102673.05758380503
2018-06-26,100000.0,100000.0,100000.0,102779.57672774745
2018-06-27,100000.0,100000.0,100000.0,101748.03364983924
2018-06-28,100000.0,100000.0,100000.0,100641.71820480448
2018-06-29,100000.0,100000.0,100000.0,101760.41393697071
2018-07-02,100000.0,100000.0,100000.0,101137.26757744123
2018-07-03,100000.0,100000.0,100000.0,101782.69291488235
2018-07-04,100000.0,100000.0,100000.0,101913.21152488868
2018-07-05,100000.0,100000.0,100000.0,101739.60718132547
2018-07-06,100000.0,100000.0,100000.0,101848.05937219805
2018-07-09,100000.0,100000.0,100000.0,102674.49288545545
2018-07-10,100000.0,100000.0,100000.0,103677.15603909706
2018-07-11,100000.0,100000.0,100000.0,103596.50607986534
2018-07-12,100000.0,100000.0,100000.0,104001.7021479853
2018-07-13,100000.0,100000.0,100000.0,103962.78766937852
2018-07-16,100000.0,100000.0,100000.0,102767.95864586567
2018-07-17,100000.0,100000.0,100000.0,103621.70238253503
2018-07-18,100000.0,100000.0,100000.0,103096.75862650509
2018-07-19,100000.0,100000.0,100000.0,102776.50906144641
2018-07-20,100000.0,100000.0,100000.0,103570.23499181864
2018-07-23,100000.0,100000.0,100000.0,104461.89799360035
2018-07-24,100000.0,100000.0,100000.0,105325.2539664854
2018-07-25,100000.0,100000.0,100000.0,105319.84721596286
2018-07-26,100000.0,100000.0,100000.0,105879.1891756776
2018-07-27,100000.0,100000.0,100000.0,106757.3956631754
2018-07-30,100000.0,100000.0,100000.0,106948.12939154444
2018-07-31,100000.0,100000.0,100000.0,107847.83295726222
2018-08-01,100000.0,100000.0,100000.0,108000.52106111626
2018-08-02,100000.0,100000.0,100000.0,107548.05523466048
2018-08-03,100000.0,100000.0,100000.0,108026.68711882301
2018-08-06,99700.00000000001,99700.00000000003,100000.0,108224.63095154984
2018-08-07,99551.04577586452,99600.01732786711,100000.0,108068.26077067365
2018-08-08,99796.78962528448,100190.36695387136,100000.0,108631.33179430739
2018-08-09,99842.57153184766,100417.32700015612,100000.0,108815.72614830408
2018-08-10,99419.30706811219,99917.94183662134,100000.0,108335.6250811175
2018-08-13,99275.91468604362,99878.80962191832,100000.0,108231.23997959268
2018-08-14,99750.44166354381,101164.24971962607,100000.0,109281.40997071339
2018-08-16,99397.94719313811,101204.61657678551,100000.0,109117.76987074746
2018-08-17,100117.689992938,102113.87571819015,100000.0,110012.83482687396
2018-08-20,101416.72927423433,102418.99326122059,100000.0,110746.38465740712
2018-08-21,101344.83013993433,102942.44533885867,100000.0,111116.10373983347
2018-08-23,100944.80490506042,103396.37206544794,100000.0,111350.19629815765
2018-08-24,100740.14573246212,103160.14406574742,100000.0,111106.55721469597
2018-08-27,102067.97009682083,104220.57718425471,100000.0,112322.32099627073
2018-08-28,101999.14876117985,104777.53799471231,100000.0,112767.94973951679
2018-08-29,101856.53953644942,104688.40509230914,100000.0,112638.88903722976
2018-08-30,102161.88579007912,104519.14656087464,100000.0,112604.52044836618
2018-08-31,102732.59016305007,104985.85755570883,100000.0,113135.70067545491
2018-09-03,102573.49968575782,103586.91095575632,100000.0,111875.3678989217
2018-09-04,100805.6595502547,102688.99708875713,100000.0,110708.94960149087
2018-09-05,100570.74290917795,102282.95499932102,100000.0,110321.2821554295
2018-09-06,100583.39706507207,103360.83350098207,100000.0,111307.52449827093
2018-09-07,101584.67894391413,104057.54741200598,100000.0,112043.76492096332
2018-09-10,100426.07330244518,102347.9295191832,100000.0,110356.32174093138
2018-09-11,98760.49840177082,101165.42775290589,100000.0,108948.72997244094
2018-09-12,99441.20794823504,101866.01811815382,100000.0,109699.79679779196
2018-09-14,101552.67634050109,103113.16514036537,100000.0,111252.8009516627
2018-09-17,100821.79203987164,102260.99448059966,100000.0,110365.03487011854
2018-09-18,99442.26017812865,101540.87263391407,100000.0,109447.85093918396
2018-09-19,99523.84270727164,101068.49614555022,100000.0,109146.36788273578
2018-09-21,98713.287260312,99896.88471307236,100000.0,107866.59882348104
2018-09-24,95713.2992220012,98570.63706878589,100000.0,106071.91180447063
2018-09-25,96371.57506674927,99644.47016973914,100000.0,107108.33998562748
2018-09-26,96642.44644482975,99333.09051098501,100000.0,106903.87052662487
2018-09-27,95585.89235357777,98790.15599478786,100000.0,106233.81853690048
