Date,strategy,ew_nifty
2023-11-01,154429.7738540164,279185.1097543374
2023-11-02,155829.7356462459,280994.2429208093
2023-11-03,157366.78219968954,282758.2025390843
2023-11-06,158518.2973126716,285463.28172449884
2023-11-07,158578.20239836394,286629.9232404815
2023-11-08,159485.03366786122,287980.45569420885
2023-11-09,158598.82808330754,286955.0079342812
2023-11-10,158941.40682274688,287117.208489281
2023-11-13,159134.26201361217,288209.1946796623
2023-11-15,161051.80229853035,290830.11279035005
2023-11-16,161187.09853311977,291890.2589237279
2023-11-17,160873.82822226066,292558.2174051275
2023-11-20,160329.65875691775,290935.2998996072
2023-11-21,161295.1562786031,292893.477438985
2023-11-22,160955.20966453763,292997.50179524487
2023-11-23,161177.03818421206,292868.266076817
2023-11-24,161422.47186373573,293309.9464697435
2023-11-28,162790.24908770763,299726.0749445182
2023-11-29,164104.91712498467,300873.0447032003
2023-11-30,164051.05979905243,302139.6356081281
2023-12-01,165530.63536960774,303678.4708676301
2023-12-04,169352.9547827281,311305.4928014305
2023-12-05,172485.7879521791,323341.22737778
2023-12-06,173249.36045475135,322096.6722577746
2023-12-07,172694.91596014216,322001.4232119755
2023-12-08,172874.37464768626,320781.0786157475
2023-12-11,173186.1540217788,322103.44970583054
2023-12-12,172766.18451121732,321641.899266526
2023-12-13,172902.5965158091,323187.6607259462
2023-12-14,175118.9361137142,326300.2200117604
2023-12-15,176629.47069673578,331426.1673631064
2023-12-18,176860.45141671115,330682.83255717845
2023-12-19,177283.06733235792,330635.84389294276
2023-12-20,175690.1800351422,322263.7300593315
2023-12-21,176448.9737266978,323378.9920386704
2023-12-22,176516.94041390414,325818.6544389316
2023-12-26,176572.78629114508,328422.0558003149
2023-12-27,177482.1112636526,330728.7639579169
2023-12-28,178472.71353910194,332106.4603610768
2023-12-29,178159.9754690449,332947.61802104686
2024-01-01,177457.26414134188,334597.63492128457
2024-01-02,180642.20798656964,334524.56198105676
2024-01-03,179542.07103368087,334936.09381806006
2024-01-04,187340.26569948925,336615.3613465498
2024-01-05,187476.42667852616,337188.2189747108
2024-01-08,188080.56787061403,334225.34127856925
2024-01-09,187824.07683968192,336707.4882826004
2024-01-10,186732.4631365743,339332.22591330705
2024-01-11,186469.8798246758,339451.31896444334
2024-01-12,186258.36063132068,342538.95905028936
2024-01-15,181807.96439099382,343655.9385729462
2024-01-16,181288.90505378135,341981.69326554827
2024-01-17,178911.15981956795,337192.381629819
2024-01-18,176112.89208559916,335129.42718158924
2024-01-19,177769.67632242417,338390.9285167565
2024-01-23,173179.09903854723,333522.4434573873
2024-01-24,173764.1287855954,337447.7569383733
2024-01-25,173122.43875697118,336132.91436201165
2024-01-29,174583.71096322458,344147.93843303237
2024-01-30,170954.0537901892,341060.6912564734
2024-01-31,172837.51977977887,344967.26189007866
2024-02-01,175422.4211211709,344485.17633842607
2024-02-02,175597.13344873922,347938.5798593484
2024-02-05,170479.90835488084,346766.59197239805
2024-02-06,174335.25243544695,349873.1183273723
2024-02-07,176196.4518792766,354562.6002763802
2024-02-08,172820.5391226629,352806.3890665376
2024-02-09,172850.33692499652,354190.86101865536
2024-02-12,171363.54554347566,351943.2382833036
2024-02-13,172711.99451953557,353646.64138843544
2024-02-14,172898.86735133998,356213.0371277753
2024-02-15,173248.4488189549,357182.01777767955
2024-02-16,173994.99828688285,360272.233768872
2024-02-19,174372.91378192417,362272.00252644886
2024-02-20,175602.92779039952,361804.1111350026
2024-02-21,174191.60682691957,359012.1385236901
2024-02-22,174310.54259070006,362655.5932539945
2024-02-23,174144.53812541233,362519.639319604
2024-02-26,172391.96784944425,362278.94476036227
2024-02-27,172138.6081048064,363013.4915596704
2024-02-28,170744.1915123033,357270.6903895094
2024-02-29,170915.3313068639,359026.4795623744
2024-03-01,172837.09034424115,363223.40873104543
2024-03-04,173871.9490928034,364138.13446561876
2024-03-05,171468.98333035185,362585.38501129515
2024-03-06,172425.87802142807,362063.9465142484
2024-03-07,174177.45932810486,363529.79117561836
2024-03-11,173455.65174345585,362500.9419949926
2024-03-12,173405.43753289263,359177.8524584011
2024-03-13,173162.09330887123,348047.6614285632
2024-03-14,173656.23429177862,355678.9849500556
2024-03-15,174137.95398815474,355271.5287999312
2024-03-18,173632.330957093,355410.2271930786
2024-03-19,173063.69203778237,349928.93284853006
2024-03-20,173242.00878940642,350470.1513992225
2024-03-21,174594.0306863958,353642.49778475985
2024-03-22,175563.70854074828,355944.38649477647
2024-03-26,175392.3221916394,355239.8018512828
2024-03-27,176318.2554060234,355566.84551670926
2024-03-28,178710.16200871544,361053.3263402958
2024-04-01,179306.73138742565,363607.2418150195
2024-04-02,179191.22151951757,364554.0739861884
2024-04-03,178294.71187473048,363427.83175562415
2024-04-04,179408.41514277307,363674.2855167545
2024-04-05,180404.46075860318,362846.2317147403
2024-04-08,180957.40074188108,364410.83531113557
2024-04-09,180498.04440891842,363395.17029147816
2024-04-10,181182.06160786265,366532.46106586524
2024-04-12,179739.3954078313,363138.15982657543
2024-04-15,177625.85631267386,358519.38167574466
2024-04-16,176171.33188671115,356171.0610368955
2024-04-18,174413.04786302694,352378.0823278704
2024-04-19,175848.0788146988,354322.1000733529
2024-04-22,177339.2573025567,357987.3727776909
2024-04-23,177619.86051236285,358298.0464122935
2024-04-24,177780.6220195788,358854.64153410867
2024-04-25,177690.22885684995,363695.1875932232
2024-04-26,176038.12732153828,360700.30640524026
2024-04-29,177313.3407075592,361513.5357837162
2024-04-30,177429.92128891204,361577.1038839224
2024-05-02,177256.25286844594,363862.0412608724
2024-05-03,176000.16146249458,360868.8878828744
2024-05-06,177747.7459215883,356999.1997350441
2024-05-07,179045.6409768958,354226.4929365502
2024-05-08,177653.3058939856,354938.82961047534
2024-05-09,174379.2016488211,347849.1072205918
2024-05-10,175497.84476620448,350961.4978598096
2024-05-13,176474.22706416558,353692.6726921788
2024-05-14,176889.32349595623,359283.537950885
2024-05-15,175940.72942288127,359767.20858209085
2024-05-16,178079.67544042305,362485.55012628477
2024-05-17,178038.23428379247,363702.3453889058
2024-05-21,178302.40966698132,367453.59814722696
2024-05-22,179231.80588045088,368583.26573115314
2024-05-23,181304.37091884503,377852.3795363623
2024-05-24,180562.55953581276,376958.96782646334
2024-05-27,180488.8412751798,373863.1234814859
2024-05-28,180969.29271059588,372123.0829161909
2024-05-29,179131.66633037507,371372.84502380167
2024-05-30,175857.58810261308,365427.6185826846
2024-05-31,175614.9470556521,370344.4438594794
2024-06-03,177880.8429262292,384243.6747760106
2024-06-04,174812.98209292945,352688.6692676313
2024-06-05,180848.0844763412,367906.3574111249
2024-06-06,182542.42777439486,371606.7849246684
2024-06-07,186262.88606329384,378651.24292863306
2024-06-10,185509.7272992337,379021.6750838913
2024-06-11,185357.1739279793,379308.7228279135
2024-06-12,185539.97522925396,381080.46290921787
2024-06-13,186931.62200507545,382501.7683204298
2024-06-14,186932.86248588303,385697.5296512843
2024-06-18,187774.0086171537,388668.1758338104
2024-06-19,186756.82572689783,385184.9920983758
2024-06-20,186662.44238746993,385169.538163886
2024-06-21,186281.61087346723,382424.05141595023
2024-06-24,186503.93649816807,384168.47895936976
2024-06-25,187236.01269298774,383854.1826953541
