symbol,leg,kind,review,announce,effective,source
# kind: entry=clean fresh add (Next50 forced BUY) | exit=clean drop below (forced SELL)
# promotion=left Next50->Nifty50 (confounded, net-buy) | relegation=entered Next50<-Nifty50 (confounded, net-sell)
# merger/adhoc=event-driven, excluded from regular-review study. Source = niftyindices.com press-release PDF date.
PAGEIND,add,entry,2023-03,2023-02-17,2023-03-31,ind_prs17022023
VBL,add,entry,2023-03,2023-02-17,2023-03-31,ind_prs17022023
BANDHANBNK,drop,exit,2023-03,2023-02-17,2023-03-31,ind_prs17022023
BIOCON,drop,exit,2023-03,2023-02-17,2023-03-31,ind_prs17022023
GLAND,drop,exit,2023-03,2023-02-17,2023-03-31,ind_prs17022023
MPHASIS,drop,exit,2023-03,2023-02-17,2023-03-31,ind_prs17022023
PAYTM,drop,exit,2023-03,2023-02-17,2023-03-31,ind_prs17022023
PNB,add,entry,2023-09,2023-08-17,2023-09-29,ind_prs17082023
SHRIRAMFIN,add,entry,2023-09,2023-08-17,2023-09-29,ind_prs17082023
TRENT,add,entry,2023-09,2023-08-17,2023-09-29,ind_prs17082023
TVSMOTOR,add,entry,2023-09,2023-08-17,2023-09-29,ind_prs17082023
ZYDUSLIFE,add,entry,2023-09,2023-08-17,2023-09-29,ind_prs17082023
ACC,drop,exit,2023-09,2023-08-17,2023-09-29,ind_prs17082023
NYKAA,drop,exit,2023-09,2023-08-17,2023-09-29,ind_prs17082023
HDFCAMC,drop,exit,2023-09,2023-08-17,2023-09-29,ind_prs17082023
INDUSTOWER,drop,exit,2023-09,2023-08-17,2023-09-29,ind_prs17082023
PAGEIND,drop,exit,2023-09,2023-08-17,2023-09-29,ind_prs17082023
LTIM,drop,promotion,2023-07-adhoc,2023-07-04,2023-07-13,ind_prs04072023
JINDALSTEL,add,adhoc,2023-07-adhoc,2023-07-04,2023-07-13,ind_prs04072023
ADANIPOWER,add,entry,2024-03,2024-02-28,2024-03-28,ind_prs28022024
IRFC,add,entry,2024-03,2024-02-28,2024-03-28,ind_prs28022024
JIOFIN,add,entry,2024-03,2024-02-28,2024-03-28,ind_prs28022024
PFC,add,entry,2024-03,2024-02-28,2024-03-28,ind_prs28022024
RECLTD,add,entry,2024-03,2024-02-28,2024-03-28,ind_prs28022024
AWL,drop,exit,2024-03,2024-02-28,2024-03-28,ind_prs28022024
MUTHOOTFIN,drop,exit,2024-03,2024-02-28,2024-03-28,ind_prs28022024
PIIND,drop,exit,2024-03,2024-02-28,2024-03-28,ind_prs28022024
PGHH,drop,exit,2024-03,2024-02-28,2024-03-28,ind_prs28022024
SHRIRAMFIN,drop,promotion,2024-03,2024-02-28,2024-03-28,ind_prs28022024
BHEL,add,entry,2024-09,2024-08-23,2024-09-30,ind_prs23082024
JSWENERGY,add,entry,2024-09,2024-08-23,2024-09-30,ind_prs23082024
LODHA,add,entry,2024-09,2024-08-23,2024-09-30,ind_prs23082024
NHPC,add,entry,2024-09,2024-08-23,2024-09-30,ind_prs23082024
UNIONBANK,add,entry,2024-09,2024-08-23,2024-09-30,ind_prs23082024
DIVISLAB,add,relegation,2024-09,2024-08-23,2024-09-30,ind_prs23082024
LTIM,add,relegation,2024-09,2024-08-23,2024-09-30,ind_prs23082024
BERGEPAINT,drop,exit,2024-09,2024-08-23,2024-09-30,ind_prs23082024
COLPAL,drop,exit,2024-09,2024-08-23,2024-09-30,ind_prs23082024
