date,weight,close,MA_300,MA_300_gain,MA_200,MA_200_gain,MA_100,MA_100_gain,MA_50,MA_20,price_gain,gain_200dma,gain_200dma_50dma,gain_100dma,gain_100dma_50dma,price_signal,price_gt_50,ma50_gt_ma100,ma100_gt_ma200,strategy1_amt
2009-12-07 15:29:59.712,1.0,261.27,,,,,,,,,0.0,,,,,-0.001,1.0,-1.0,-1.0,
2009-12-08 15:29:59.712,2.0,267.55,,,,,,,,,0.0240364374,,,,,-0.001,1.0,-1.0,-1.0,
2009-12-09 15:29:59.712,3.0,265.45,,,,,,,,,-0.007849000187,,,,,-0.001,1.0,-1.0,-1.0,
2009-12-10 15:29:59.712,4.0,265.43,,,,,,,,,-7.534375589e-05,,,,,-0.001,1.0,-1.0,-1.0,
2009-12-11 15:29:59.712,5.0,265.3,,,,,,,,,-0.0004897713145,,,,,-0.001,1.0,-1.0,-1.0,
2009-12-14 15:29:59.712,6.0,264.48,,,,,,,,,-0.003090840558,,,,,-0.001,1.0,-1.0,-1.0,
2009-12-15 15:29:59.712,7.0,260.43,,,,,,,,,-0.01531306715,,,,,-0.001,1.0,-1.0,-1.0,
2009-12-16 15:29:59.712,8.0,259.33,,,,,,,,,-0.004223783742,,,,,-0.001,1.0,-1.0,-1.0,
2009-12-17 15:29:59.712,9.0,256.31,,,,,,,,,-0.0116453939,,,,,-0.001,1.0,-1.0,-1.0,
2009-12-18 15:29:59.712,10.0,249.55,,,,,,,,,-0.02637431236,,,,,-0.001,1.0,-1.0,-1.0,
2009-12-21 15:29:59.712,11.0,251.85,,,,,,,,,0.009216589862,,,,,-0.001,1.0,-1.0,-1.0,
2009-12-22 15:29:59.712,12.0,252.41,,,,,,,,,0.002223545761,,,,,-0.001,1.0,-1.0,-1.0,
2009-12-23 15:29:59.712,13.0,264.05,,,,,,,,,0.04611544709,,,,,-0.001,1.0,-1.0,-1.0,
2009-12-24 15:29:59.712,14.0,266.55,,,,,,,,,0.009467903806,,,,,-0.001,1.0,-1.0,-1.0,
2009-12-29 15:29:59.712,15.0,267.53,,,,,,,,,0.003676608516,,,,,-0.001,1.0,-1.0,-1.0,
2009-12-30 15:29:59.712,16.0,266.49,,,,,,,,,-0.003887414496,,,,,-0.001,1.0,-1.0,-1.0,
2009-12-31 15:29:59.712,17.0,270.08,,,,,,,,,0.01347142482,,,,,-0.001,1.0,-1.0,-1.0,
2010-01-04 15:29:59.712,18.0,266.35,,,,,,,,,-0.01381072275,,,,,-0.001,1.0,-1.0,-1.0,
2010-01-05 15:29:59.712,19.0,265.16,,,,,,,,,-0.004467805519,,,,,-0.001,1.0,-1.0,-1.0,
2010-01-06 15:29:59.712,20.0,269.45,,,,,,,,263.4327143,0.01617891085,,,,,-0.001,1.0,-1.0,-1.0,
2010-01-07 15:29:59.712,21.0,273.92,,,,,,,,264.4964286,0.01658934867,,,,,-0.001,1.0,-1.0,-1.0,
2010-01-08 15:29:59.712,22.0,273.2,,,,,,,,265.4313333,-0.002628504673,,,,,-0.001,1.0,-1.0,-1.0,
2010-01-11 15:29:59.712,23.0,267.84,,,,,,,,265.8288571,-0.0196193265,,,,,-0.001,1.0,-1.0,-1.0,
2010-01-12 15:29:59.712,24.0,268.54,,,,,,,,266.2816667,0.002613500597,,,,,-0.001,1.0,-1.0,-1.0,
2010-01-13 15:29:59.712,25.0,269.59,,,,,,,,266.8196667,0.003910032025,,,,,-0.001,1.0,-1.0,-1.0,
2010-01-14 15:29:59.712,26.0,277.79,,,,,,,,268.1181905,0.03041655848,,,,,-0.001,1.0,-1.0,-1.0,
2010-01-15 15:29:59.712,27.0,275.08,,,,,,,,269.0952381,-0.009755570755,,,,,-0.001,1.0,-1.0,-1.0,
2010-01-18 15:29:59.712,28.0,272.29,,,,,,,,269.7368095,-0.010142504,,,,,-0.001,1.0,-1.0,-1.0,
2010-01-19 15:29:59.712,29.0,268.7,,,,,,,,269.9747619,-0.01318447244,,,,,-0.001,1.0,-1.0,-1.0,
2010-01-20 15:29:59.712,30.0,266.85,,,,,,,,269.9775238,-0.006885001861,,,,,-0.001,1.0,-1.0,-1.0,
2010-01-21 15:29:59.712,31.0,261.04,,,,,,,,269.3445714,-0.02177253138,,,,,-0.001,1.0,-1.0,-1.0,
2010-01-22 15:29:59.712,32.0,260.99,,,,,,,,268.6630952,-0.0001915415262,,,,,-0.001,1.0,-1.0,-1.0,
2010-01-25 15:29:59.712,33.0,258.07,,,,,,,,267.6626667,-0.01118816813,,,,,-0.001,1.0,-1.0,-1.0,
2010-01-27 15:29:59.712,34.0,254.48,,,,,,,,266.3488095,-0.01391095439,,,,,-0.001,1.0,-1.0,-1.0,
2010-01-28 15:29:59.712,35.0,256.85,,,,,,,,265.3181429,0.009313109085,,,,,-0.001,1.0,-1.0,-1.0,
2010-01-29 15:29:59.712,36.0,259.09,,,,,,,,264.5516667,0.008721043411,,,,,-0.001,1.0,-1.0,-1.0,
2010-02-01 15:29:59.712,37.0,258.9,,,,,,,,263.8023333,-0.0007333359064,,,,,-0.001,1.0,-1.0,-1.0,
2010-02-02 15:29:59.712,38.0,254.41,,,,,,,,262.678619,-0.01734260332,,,,,-0.001,1.0,-1.0,-1.0,
2010-02-03 15:29:59.712,39.0,256.06,,,,,,,,261.7689048,0.00648559412,,,,,-0.001,1.0,-1.0,-1.0,
2010-02-04 15:29:59.712,40.0,252.39,,,,,,,,260.553,-0.0143325783,,,,,-0.001,1.0,-1.0,-1.0,
2010-02-05 15:29:59.712,41.0,243.12,,,,,,,,258.5354762,-0.03672887198,,,,,-0.001,1.0,-1.0,-1.0,
2010-02-08 15:29:59.712,42.0,246.25,,,,,,,,256.9627143,0.01287430076,,,,,-0.001,1.0,-1.0,-1.0,
2010-02-09 15:29:59.712,43.0,245.98,,,,,,,,255.4925714,-0.001096446701,,,,,-0.001,1.0,-1.0,-1.0,
2010-02-10 15:29:59.712,44.0,243.96,,,,,,,,253.9341429,-0.00821204976,,,,,-0.001,1.0,-1.0,-1.0,
2010-02-11 15:29:59.712,45.0,251.4,,,,,,,,253.2013333,0.03049680275,,,,,-0.001,1.0,-1.0,-1.0,
2010-02-15 15:29:59.712,46.0,250.13,,,,,,,,252.4341905,-0.005051710422,,,,,-0.001,1.0,-1.0,-1.0,
2010-02-16 15:29:59.712,47.0,252.05,,,,,,,,251.981619,0.007676008476,,,,,-0.001,1.0,-1.0,-1.0,
2010-02-17 15:29:59.712,48.0,255.71,,,,,,,,251.9872857,0.01452092839,,,,,-0.001,1.0,-1.0,-1.0,
2010-02-18 15:29:59.712,49.0,247.11,,,,,,,,251.2528571,-0.03363184858,,,,,-0.001,1.0,-1.0,-1.0,
2010-02-19 15:29:59.712,50.0,243.49,,,,,,,257.7276078,250.2764762,-0.01464934644,,,,,-0.001,-1.0,1.0,-1.0,
2010-02-22 15:29:59.712,51.0,242.19,,,,,,,257.0132549,249.2875238,-0.005339028297,,,,,-0.001,-1.0,1.0,-1.0,
2010-02-23 15:29:59.712,52.0,241.55,,,,,,,256.2887686,248.327381,-0.002642553367,,,,,-0.001,-1.0,1.0,-1.0,
2010-02-24 15:29:59.712,53.0,242.4,,,,,,,255.6180078,247.5407619,0.003518940178,,,,,-0.001,-1.0,1.0,-1.0,
2010-02-25 15:29:59.712,54.0,238.51,,,,,,,254.8127765,246.4582857,-0.01604785479,,,,,-0.001,-1.0,1.0,-1.0,
2010-02-26 15:29:59.712,55.0,242.44,,,,,,,254.1827765,245.8261429,0.01647729655,,,,,-0.001,-1.0,1.0,-1.0,
2010-03-02 15:29:59.712,56.0,243.49,,,,,,,253.6118824,245.362619,0.004330968487,,,,,-0.001,-1.0,1.0,-1.0,
2010-03-03 15:29:59.712,57.0,253.79,,,,,,,253.4613725,245.9543333,0.04230153189,,,,,0.001,1.0,1.0,-1.0,
2010-03-04 15:29:59.712,58.0,251.12,,,,,,,253.2113647,246.3160952,-0.01052050908,,,,,-0.001,-1.0,1.0,-1.0,
2010-03-05 15:29:59.712,59.0,250.08,,,,,,,252.9270118,246.5944762,-0.00414144632,,,,,-0.001,-1.0,1.0,-1.0,
2010-03-08 15:29:59.712,60.0,248.67,,,,,,,252.592251,246.7670476,-0.005638195777,,,,,-0.001,-1.0,1.0,-1.0,
2010-03-09 15:29:59.712,61.0,245.26,,,,,,,252.1244549,246.6325714,-0.01371295291,,,,,-0.001,-1.0,1.0,-1.0,
2010-03-10 15:29:59.712,62.0,249.82,,,,,,,251.840651,246.9221905,0.01859251407,,,,,-0.001,-1.0,1.0,-1.0,
2010-03-11 15:29:59.712,63.0,251.73,,,,,,,251.6337804,247.3767143,0.007645504763,,,,,0.001,1.0,1.0,-1.0,
2010-03-12 15:29:59.712,64.0,253.0,,,,,,,251.4863765,247.9248095,0.005045087991,,,,,0.001,1.0,1.0,-1.0,
