ticker,bars,bh_cagr,S1,S2a,S2b,S3,S4a,S4b,best,best_name,alpha,years
ADANIENT.NS,4056,0.2653184302197431,0.4250308685701337,0.4255621299851906,0.4196298122369507,0.42101955049269707,0.42571985289686404,0.4412676977766611,0.4412676977766611,S4b,0.17594926755691798,16.095238095238095
TATASTEEL.NS,4056,0.11286311163735618,0.2231976111478523,0.2242032280024069,0.2260804353574045,0.22854257308561002,0.22792005852077668,0.23132233807803365,0.23132233807803365,S4b,0.11845922644067747,16.095238095238095
COALINDIA.NS,3824,0.09365334244353596,0.1861023682177034,0.18712022915781118,0.1968886334457105,0.2000480504808674,0.18205256013484378,0.18205256013484378,0.2000480504808674,S3,0.10639470803733145,15.174603174603174
NESTLEIND.NS,4056,0.0773960204459685,0.1746903421788329,0.17662160421497444,0.18357504556719148,0.18357019437728134,0.1815890640019753,0.18286101871922067,0.18357504556719148,S2b,0.10617902512122299,16.095238095238095
HINDALCO.NS,4056,0.13798828379160533,0.23513356309489436,0.23772927508834085,0.24041931259049876,0.2417680512555895,0.23008404837679117,0.22841766002352373,0.2417680512555895,S3,0.10377976746398418,16.095238095238095
NTPC.NS,4056,0.0874658532531587,0.18156722639980488,0.18412377159390275,0.18581762263572976,0.18868138437644957,0.18861463557110872,0.1875973851448702,0.18868138437644957,S3,0.10121553112329087,16.095238095238095
BHARTIARTL.NS,4056,0.12815027404594992,0.2037376605552398,0.20561894903053698,0.20297992663931383,0.20569932291040413,0.21712362637546975,0.22040542142157193,0.22040542142157193,S4b,0.09225514737562202,16.095238095238095
JSWSTEEL.NS,4056,0.17940061290452025,0.26295472279615417,0.2645461617470545,0.26873041082976884,0.2700602035096765,0.26686532974024585,0.26890145732889736,0.2700602035096765,S3,0.09065959060515627,16.095238095238095
ONGC.NS,4056,0.06752716917429402,0.14397640706217324,0.144246268830871,0.15127630086630872,0.1518676559028242,0.13086198492420914,0.13086198492420914,0.1518676559028242,S3,0.08434048672853017,16.095238095238095
SBIN.NS,4056,0.10808563873335619,0.18141334533650388,0.18035172373896263,0.18275123741955557,0.18424296505936086,0.17793641032718846,0.17729799903731513,0.18424296505936086,S3,0.07615732632600467,16.095238095238095
M&M.NS,4056,0.1776934824590486,0.2331291241312602,0.2380340828636834,0.2530943067120377,0.2476190267231555,0.2203607354798739,0.2220079912037536,0.2530943067120377,S2b,0.07540082425298911,16.095238095238095
LT.NS,4056,0.12406877774603298,0.18567423957242268,0.18698897467533895,0.19123762516216763,0.19120124389661913,0.19715494508885914,0.19758388855166797,0.19758388855166797,S4b,0.073515110805635,16.095238095238095
TRENT.NS,4056,0.2894940948762623,0.3486020608036036,0.3477302359388507,0.34788457882824714,0.35251602816809186,0.3481677556296353,0.34550281788050835,0.35251602816809186,S3,0.06302193329182953,16.095238095238095
SHRIRAMFIN.NS,4056,0.17956124644765037,0.23916476755936647,0.23866937248817446,0.24146714821336218,0.2420659642522777,0.24058985899839067,0.23572261996636643,0.2420659642522777,S3,0.06250471780462732,16.095238095238095
POWERGRID.NS,4056,0.14847393532513675,0.19987991569943456,0.20136431761842344,0.20719992434750206,0.20840085344743678,0.2044845819856874,0.20637180422299517,0.20840085344743678,S3,0.05992691812230003,16.095238095238095
SBILIFE.NS,2124,0.12227415004642839,0.1673308406307721,0.17048322356817738,0.17712190235597683,0.1810625405764329,0.1703497328622139,0.17076416342050646,0.1810625405764329,S3,0.05878839053000451,8.428571428571429
RELIANCE.NS,4056,0.11992231341674242,0.1703707394734514,0.16960897034057995,0.17205340373806177,0.1755265686957013,0.17258547531820986,0.17363956187888988,0.1755265686957013,S3,0.055604255278958875,16.095238095238095
GRASIM.NS,4056,0.1437495237028037,0.1880112809629779,0.18876348605283,0.19515316125250498,0.1971474559331864,0.18576148652273652,0.1856962089942282,0.1971474559331864,S3,0.053397932230382694,16.095238095238095
ADANIPORTS.NS,4056,0.18935277074432566,0.23636334512870324,0.23691434486299923,0.23922319250915997,0.24121976473553566,0.23826821572146809,0.2376417773411487,0.24121976473553566,S3,0.05186699399121,16.095238095238095
TATACONSUM.NS,4056,0.1840313276604566,0.22746434042436273,0.22858994459457774,0.2313878157945574,0.2348142428865406,0.22639983607464048,0.22792509467775865,0.2348142428865406,S3,0.050782915226084,16.095238095238095
ICICIBANK.NS,4056,0.1461245578189232,0.1815286045466015,0.1834520775241573,0.18798062406417232,0.18979769959579984,0.1829751871059306,0.18831955727050062,0.18979769959579984,S3,0.043673141776876645,16.095238095238095
HEROMOTOCO.NS,4056,0.10717188713231995,0.13978514604565406,0.14066538670534692,0.14867805480594737,0.14853218249525602,0.13701653154269802,0.13795974336542638,0.14867805480594737,S2b,0.041506167673627414,16.095238095238095
CIPLA.NS,4056,0.0962050821920517,0.12063098657391837,0.12169058071743925,0.1279031487689554,0.1304436582046127,0.12518126678057498,0.12804012514467147,0.1304436582046127,S3,0.034238576012561,16.095238095238095
TECHM.NS,4056,0.1430317921668367,0.1680174096920867,0.1700611780098633,0.17408693825684804,0.1740278334731868,0.17539011513485095,0.17539011513485095,0.17539011513485095,S4a,0.03235832296801425,16.095238095238095
BAJAJ-AUTO.NS,4056,0.19847315031770263,0.21269559674605384,0.21468160088296254,0.2270681906686938,0.22376937679962636,0.2152524509637337,0.2220428471129651,0.2270681906686938,S2b,0.02859504035099117,16.095238095238095
